COD_AUTHOR[I(5)]|NAME_AUTHOR[A(100)]|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
101|LUIZ RUFFATO|
20|JORGE AMADO|
13|CHARLES DICKENS|

41|MACHADO DE ASSIS|

45|JOSE DE ALENCAR|
112|JUAN RULFO|

213|JOAO GUIMARAES ROSA|
